GENESIS-Tabelle: 81000-0111
VGR des Bundes - Bruttolöhne und -gehälter:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Wirtschaftsbereiche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bruttolöhne und -gehälter (Mrd. EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
WZ08-M-02;Unternehmensdienstleister;32,841;36,597;39,233;41,571;45,164;47,663;49,864;54,409;59,892;65,889;69,328;71,047;73,013;76,705;79,827;85,725;93,186;99,620;99,826;107,402;116,525;124,322;129,416;137,375;148,276;157,648;170,172;182,435;190,232;186,888;197,645;218,055
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;21,056;23,820;25,734;27,069;29,203;30,808;31,985;34,725;38,016;41,746;44,249;45,951;47,222;49,152;50,699;53,070;56,459;60,588;62,049;65,401;70,151;75,370;78,870;83,852;90,724;95,682;103,459;112,326;118,672;119,614;126,492;...
WZ08-69-01;Unternehmensnahe Beratungsleistungen;16,117;18,276;19,758;20,885;22,597;23,872;24,800;26,782;29,501;32,574;34,484;35,701;36,853;38,715;40,057;42,024;44,698;48,092;48,987;51,816;55,745;59,697;62,075;66,123;71,756;75,469;81,327;88,606;93,581;94,129;...;...
WZ08-69-02;Rechts- und Steuerberatung, Unternehmensberatung;11,565;13,117;14,179;14,982;16,206;17,126;17,787;19,213;21,174;23,358;24,676;25,670;26,482;27,757;28,623;29,614;30,956;33,129;33,825;35,932;38,707;41,566;42,741;45,414;49,680;51,818;55,680;60,848;64,330;64,871;...;...
WZ08-71;Architektur-,Ing.büros,techn.,physik.Untersuchung;4,552;5,159;5,579;5,903;6,391;6,746;7,013;7,569;8,327;9,216;9,808;10,031;10,371;10,958;11,434;12,410;13,742;14,963;15,162;15,884;17,038;18,131;19,334;20,709;22,076;23,651;25,647;27,758;29,251;29,258;...;...
WZ08-72;Forschung und Entwicklung;2,773;3,105;3,334;3,393;3,581;3,745;3,868;4,386;4,617;4,752;4,980;5,359;5,464;5,336;5,325;5,459;5,805;6,144;6,420;6,607;6,851;7,507;8,196;8,679;9,175;9,716;10,593;11,309;12,088;12,626;...;...
WZ08-73-01;Sonst.freiberufl., wissenschaftl., techn. Dienstl.;2,166;2,439;2,642;2,791;3,025;3,191;3,317;3,557;3,898;4,420;4,785;4,891;4,905;5,101;5,317;5,587;5,956;6,352;6,642;6,978;7,555;8,166;8,599;9,050;9,793;10,497;11,539;12,411;13,003;12,859;...;...
WZ08-73;Werbung und Marktforschung;1,362;1,547;1,685;1,792;1,951;2,068;2,160;2,341;2,601;3,012;3,286;3,317;3,271;3,358;3,464;3,638;3,858;4,139;4,083;4,186;4,577;4,925;5,006;5,246;5,772;6,159;6,783;7,268;7,542;7,191;...;...
WZ08-74-01;Freiberufl.,wiss.,techn.DL a.n.g., Veterinärwesen;0,804;0,892;0,957;0,999;1,074;1,123;1,157;1,216;1,297;1,408;1,499;1,574;1,634;1,743;1,853;1,949;2,098;2,213;2,559;2,792;2,978;3,241;3,593;3,804;4,021;4,338;4,756;5,143;5,461;5,668;...;...
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;11,785;12,777;13,499;14,502;15,961;16,855;17,879;19,684;21,876;24,143;25,079;25,096;25,791;27,553;29,128;32,655;36,727;39,032;37,777;42,001;46,374;48,952;50,546;53,523;57,552;61,966;66,713;70,109;71,560;67,274;71,153;...
